,Correlation,Causal
0,0.0,0.0
1,0.0,31.57894736842105
2,0.0,38.94736842105262
3,0.0,38.94736842105262
4,0.0,43.1578947368421
5,0.0,44.21052631578947
6,2.1052631578947367,48.421052631578945
7,3.157894736842105,48.421052631578945
8,4.2105263157894735,49.473684210526315
9,5.263157894736842,49.473684210526315
10,5.263157894736842,51.578947368421055
11,6.31578947368421,52.63157894736842
12,14.736842105263156,57.89473684210526
13,17.894736842105264,58.94736842105262
14,18.94736842105263,58.94736842105262
15,21.052631578947366,61.05263157894736
16,23.157894736842103,61.05263157894736
17,25.263157894736842,64.21052631578947
18,27.36842105263158,64.21052631578947
19,27.36842105263158,64.21052631578947
20,27.36842105263158,64.21052631578947
21,28.42105263157895,82.10526315789474
22,28.42105263157895,84.21052631578947
23,33.684210526315795,91.57894736842105
24,33.684210526315795,91.57894736842105
25,68.42105263157895,91.57894736842105
26,86.3157894736842,100.0
27,88.42105263157895,100.0
28,89.47368421052632,100.0
29,92.63157894736841,100.0
30,93.6842105263158,100.0
31,94.73684210526315,100.0
32,94.73684210526315,100.0
33,94.73684210526315,100.0
34,95.78947368421052,100.0
35,95.78947368421052,100.0
36,95.78947368421052,100.0
37,95.78947368421052,100.0
38,95.78947368421052,100.0
39,96.84210526315789,100.0
40,96.84210526315789,100.0
41,96.84210526315789,100.0
42,96.84210526315789,100.0
43,96.84210526315789,100.0
44,97.89473684210526,100.0
45,97.89473684210526,100.0
46,98.94736842105263,100.0
47,98.94736842105263,100.0
48,100.0,100.0
49,100.0,100.0
50,100.0,100.0
51,100.0,100.0
52,100.0,100.0
53,100.0,100.0
54,100.0,100.0
55,100.0,100.0
56,100.0,100.0
57,100.0,100.0
58,100.0,100.0
59,100.0,100.0
