,Correlation,Causal
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,20.0
4,0.0,20.404040404040405
5,0.0,20.404040404040405
6,0.0,20.606060606060606
7,0.0,20.606060606060606
8,0.0,20.80808080808081
9,0.0,21.01010101010101
10,0.0,21.01010101010101
11,0.0,21.81818181818182
12,0.0,22.22222222222222
13,0.0,22.82828282828283
14,0.0,24.04040404040404
15,0.0,25.252525252525253
16,0.0,27.878787878787875
17,0.0,30.50505050505051
18,0.0,32.32323232323232
19,0.0,37.37373737373738
20,0.0,37.37373737373738
21,0.0,37.37373737373738
22,0.0,37.37373737373738
23,0.0,37.77777777777778
24,0.0,37.77777777777778
25,0.0,37.77777777777778
26,0.0,37.77777777777778
27,0.0,37.77777777777778
28,0.0,37.77777777777778
29,0.0,37.77777777777778
30,0.0,37.77777777777778
31,0.0,37.77777777777778
32,0.0,37.77777777777778
33,0.0,37.77777777777778
34,0.0,37.77777777777778
35,0.0,37.77777777777778
36,0.0,37.77777777777778
37,0.0,37.77777777777778
38,0.0,37.77777777777778
39,0.0,37.77777777777778
40,0.0,37.77777777777778
41,0.0,37.77777777777778
42,0.0,37.77777777777778
43,0.0,37.77777777777778
44,0.0,37.77777777777778
45,0.0,37.77777777777778
46,100.0,100.0
