,Correlation,Causal
0,0.0,0.0
1,2.4,6.4
2,12.345679012345679,55.55555555555556
3,12.530120481927712,56.385542168674704
4,13.333333333333336,57.01149425287356
5,13.77777777777778,57.55555555555556
6,15.151515151515152,60.60606060606061
7,20.17699115044248,65.13274336283186
8,20.52631578947368,65.26315789473685
9,22.857142857142858,66.21848739495798
10,24.390243902439025,66.82926829268293
11,24.677419354838708,66.93548387096774
12,26.14173228346457,67.71653543307086
13,27.131782945736433,68.06201550387597
14,27.633587786259543,68.24427480916032
15,27.878787878787875,68.33333333333333
16,28.270676691729324,68.42105263157893
17,29.037037037037038,68.5925925925926
18,29.411764705882348,68.67647058823529
